ID,Location,English Text,Category,Priority,Context,Notes
onboarding_slide_1_title,constants/appConfig.ts:163,Rock Identifier,onboarding,high,Onboarding slide 1 title,Main app name
onboarding_slide_1_subtitle,constants/appConfig.ts:164,AI-Powered Geological Discovery,onboarding,high,Onboarding slide 1 subtitle,
onboarding_slide_1_description,constants/appConfig.ts:165,"Unlock the secrets of Earth's geology with cutting-edge artificial intelligence that identifies rocks and minerals instantly.",onboarding,high,Onboarding slide 1 description,
onboarding_slide_2_title,constants/appConfig.ts:173,Instant Analysis,onboarding,high,Onboarding slide 2 title,
onboarding_slide_2_subtitle,constants/appConfig.ts:174,Point Capture Discover,onboarding,high,Onboarding slide 2 subtitle,
onboarding_slide_2_description,constants/appConfig.ts:175,"Advanced computer vision analyzes mineral composition, crystal structure, and geological formation in seconds.",onboarding,high,Onboarding slide 2 description,
onboarding_slide_3_title,constants/appConfig.ts:182,Digital Collection,onboarding,high,Onboarding slide 3 title,
onboarding_slide_3_subtitle,constants/appConfig.ts:183,Curate Your Geological Journey,onboarding,high,Onboarding slide 3 subtitle,
onboarding_slide_3_description,constants/appConfig.ts:185,"Build a comprehensive digital museum of your discoveries with detailed scientific data and formation history.",onboarding,high,Onboarding slide 3 description,
onboarding_slide_4_title,constants/appConfig.ts:193,Scientific Knowledge,onboarding,high,Onboarding slide 4 title,
onboarding_slide_4_subtitle,constants/appConfig.ts:194,Expand Your Understanding,onboarding,high,Onboarding slide 4 subtitle,
onboarding_slide_4_description,constants/appConfig.ts:195,"Access comprehensive geological databases, formation processes, and fascinating insights about Earth's mineral kingdom.",onboarding,high,Onboarding slide 4 description,
onboarding_button_final,constants/appConfig.ts:202,Begin Journey,buttons,high,Final onboarding button (last slide),
onboarding_button_continue,constants/appConfig.ts:203,Continue,buttons,high,Continue button for onboarding slides,
onboarding_button_skip,constants/appConfig.ts:204,Skip,buttons,medium,Skip button for onboarding,
ui_tab_home,constants/appConfig.ts:212,Home,ui,high,Tab navigation - Home tab,
ui_tab_collection,constants/appConfig.ts:213,Collection,ui,high,Tab navigation - Collection tab,
ui_tab_learn,constants/appConfig.ts:214,Learn,ui,high,Tab navigation - Learn tab,
ui_camera_title,constants/appConfig.ts:217,Capture Rock,ui,high,Camera screen title,
ui_camera_instruction,constants/appConfig.ts:218,Point camera at a rock or mineral,ui,high,Camera instruction text,
ui_camera_capture_button,constants/appConfig.ts:219,Identify,buttons,high,Capture button in camera screen,
ui_camera_gallery_button,constants/appConfig.ts:220,Choose from Gallery,buttons,high,Gallery picker button text,
ui_camera_retake_button,constants/appConfig.ts:221,Retake,buttons,medium,Retake photo button,
ui_camera_analyze_button,constants/appConfig.ts:222,Analyze Rock,buttons,high,Analyze button on image review screen,
ui_results_title,constants/appConfig.ts:225,Identification Results,ui,high,Results screen title,
ui_results_confidence_label,constants/appConfig.ts:226,Confidence,ui,high,Confidence score label,
ui_results_composition_label,constants/appConfig.ts:227,Composition,ui,high,Composition section label,
ui_results_formation_label,constants/appConfig.ts:228,Formation,ui,high,Formation section label,
ui_results_locations_label,constants/appConfig.ts:229,Found In,ui,high,Locations section label,
ui_results_uses_label,constants/appConfig.ts:230,Uses,ui,high,Uses section label,
ui_results_fun_fact_label,constants/appConfig.ts:231,Fun Fact,ui,high,Fun fact section label,
ui_results_save_button,constants/appConfig.ts:232,Save to Collection,buttons,high,Save button in results screen,
ui_results_share_button,constants/appConfig.ts:233,Share,buttons,medium,Share button in results screen,
ui_collection_title,constants/appConfig.ts:236,My Rock Collection,ui,high,Collection screen title,
ui_collection_empty_state,constants/appConfig.ts:237,No items in your collection yet,ui,high,Empty collection message,
ui_collection_empty_action,constants/appConfig.ts:238,Start identifying rocks,ui,high,Action text when collection is empty,
ui_collection_items_label,constants/appConfig.ts:239,specimens,ui,medium,Unit label for collection items,
ui_learn_title,constants/appConfig.ts:242,Learn About Rocks,ui,high,Learn screen title,
ui_learn_intro_title,constants/appConfig.ts:243,Rock Identification Guide,ui,high,Learn screen intro section title,
ui_learn_intro_text,constants/appConfig.ts:244,"Learn about the different types of rocks, their formation, and how to identify them in the wild.",ui,high,Learn screen intro description,
ui_learn_section_title,constants/appConfig.ts:245,Rock Types,ui,high,Rock Types section header,
ui_learn_category_1_name,constants/appConfig.ts:248,Igneous Rocks,ui,high,Rock category name,
ui_learn_category_1_description,constants/appConfig.ts:249,"Formed through the cooling and solidification of magma or lava. Examples include granite, basalt, and obsidian.",ui,high,Igneous rocks description,
ui_learn_category_2_name,constants/appConfig.ts:252,Sedimentary Rocks,ui,high,Rock category name,
ui_learn_category_2_description,constants/appConfig.ts:253,"Formed by the deposition and cementation of mineral or organic particles. Examples include sandstone, limestone, and shale.",ui,high,Sedimentary rocks description,
ui_learn_category_3_name,constants/appConfig.ts:256,Metamorphic Rocks,ui,high,Rock category name,
ui_learn_category_3_description,constants/appConfig.ts:257,"Formed when existing rocks are subjected to heat and pressure causing physical or chemical changes. Examples include marble, slate, and quartzite.",ui,high,Metamorphic rocks description,
ui_learn_tips_title,constants/appConfig.ts:260,Identification Tips,ui,high,Tips section title,
ui_learn_tip_1,constants/appConfig.ts:262,Look at the texture: Is it coarse or fine-grained?,ui,high,Identification tip 1,
ui_learn_tip_2,constants/appConfig.ts:263,"Check the color: Different minerals create different colors",ui,high,Identification tip 2,
ui_learn_tip_3,constants/appConfig.ts:264,"Test hardness: Can it scratch glass or be scratched by a knife?",ui,high,Identification tip 3,
